Temperature,Formula,ZT
750,Pb0.999La0.001Te1,0.7667548863210204
800,Pb0.999La0.001Te1,0.6796541577560483
400,Pb0.98Na0.02Te1LNSPS,0.527356271525852
450,Pb0.98Na0.02Te1LNSPS,0.6725008009030158
500,Pb0.98Na0.02Te1LNSPS,0.795335948884104
550,Pb0.98Na0.02Te1LNSPS,0.9341304724298422
600,Pb0.98Na0.02Te1LNSPS,1.0699822788624789
650,Pb0.98Na0.02Te1LNSPS,1.1715616099668882
700,Pb0.98Na0.02Te1LNSPS,1.2539732421532193
350,Na0.0125Pb0.9875Se1,0.0162742819542845
400,Na0.0125Pb0.9875Se1,0.0339414257602012
450,Na0.0125Pb0.9875Se1,0.0728984181132126
500,Na0.0125Pb0.9875Se1,0.1331967618032542
550,Na0.0125Pb0.9875Se1,0.2120340090316349
600,Na0.0125Pb0.9875Se1,0.3091760410498411
650,Na0.0125Pb0.9875Se1,0.4295258738721377
700,Na0.0125Pb0.9875Se1,0.5807395723303735
750,Na0.0125Pb0.9875Se1,0.7657060679975678
800,Na0.0125Pb0.9875Se1,0.9715391621645246
350,Pb0.99Na0.01Te1,0.1583807929393199
400,Pb0.99Na0.01Te1,0.3226410987505493
450,Pb0.99Na0.01Te1,0.5576519986239743
500,Pb0.99Na0.01Te1,0.8348615922857964
550,Pb0.99Na0.01Te1,1.1093129950018026
600,Pb0.99Na0.01Te1,1.331549769693289
650,Pb0.99Na0.01Te1,1.463691766367013
700,Pb0.99Na0.01Te1,1.492333318045597
300,Pb1Te0.5Se0.5I0.001,0.2049573640830001
350,Pb1Te0.5Se0.5I0.001,0.3767366462440695
400,Pb1Te0.5Se0.5I0.001,0.5614984661834725
450,Pb1Te0.5Se0.5I0.001,0.7318353077909213
500,Pb1Te0.5Se0.5I0.001,0.907088602171406
550,Pb1Te0.5Se0.5I0.001,1.11605739010697
600,Pb1Te0.5Se0.5I0.001,1.361203783378683
350,Pb1Te1Na0.001Cl0.001,0.5504447800463256
400,Pb1Te1Na0.001Cl0.001,0.6942285699295794
450,Pb1Te1Na0.001Cl0.001,0.8291048540057024
500,Pb1Te1Na0.001Cl0.001,0.947242577893106
550,Pb1Te1Na0.001Cl0.001,1.045641980739075
600,Pb1Te1Na0.001Cl0.001,1.1183234320308402
650,Pb1Te1Na0.001Cl0.001,1.1543767842598385
700,Pb1Te1Na0.001Cl0.001,1.1413102774634778
350,Pb1.0015Zn0.02Te1.02I0.003,0.1612300059683803
400,Pb1.0015Zn0.02Te1.02I0.003,0.2378850337611598
450,Pb1.0015Zn0.02Te1.02I0.003,0.3258391044253781
500,Pb1.0015Zn0.02Te1.02I0.003,0.428933665510728
550,Pb1.0015Zn0.02Te1.02I0.003,0.5465610360933263
600,Pb1.0015Zn0.02Te1.02I0.003,0.6679460089660398
300,Na0.01Pb0.96Cd0.03Te1,0.0516865170319053
350,Na0.01Pb0.96Cd0.03Te1,0.1449215650504375
400,Na0.01Pb0.96Cd0.03Te1,0.3027502782069856
450,Na0.01Pb0.96Cd0.03Te1,0.5055923438033452
500,Na0.01Pb0.96Cd0.03Te1,0.72083780153834
550,Na0.01Pb0.96Cd0.03Te1,0.9270928825762208
600,Na0.01Pb0.96Cd0.03Te1,1.1176901460646569
